Genus	
Mitragyna	29.6 % (32/108)
Rauvolfia	27.8 % (30/108)
Uncaria	16.7 % (18/108)
Tabernaemontana	8.3 % (9/108)
Stemmadenia	7.4 % (8/108)
Strychnos	3.7 % (4/108)
Cephaelis	1.9 % (2/108)
Iserta	1.9 % (2/108)
Kopsia	0.9 % (1/108)
Melodinus	0.9 % (1/108)
Timonius	0.9 % (1/108)
